paper,np_type,size_nm,zeta_mv,peg,ligand,ligand_count,kd_nM,brain_metric,metric_type,model,notes
Wiley_PNAS_2013,gold,21.0,-12.9,no,transferrin,3.0,4.9,0.5,relative_brain_counts,mouse_iv,"5nm core, low avidity"
Wiley_PNAS_2013,gold,25.3,-10.0,no,transferrin,6.0,3.1,0.6,relative_brain_counts,mouse_iv,5nm core
Wiley_PNAS_2013,gold,44.6,-14.4,no,transferrin,10.0,1.7,1.0,relative_brain_counts,mouse_iv,"20nm core, reference group"
Wiley_PNAS_2013,gold,43.6,-6.8,no,transferrin,20.0,1.5,1.1,relative_brain_counts,mouse_iv,20nm core
Wiley_PNAS_2013,gold,48.3,-14.1,no,transferrin,30.0,0.71,1.3,relative_brain_counts,mouse_iv,"20nm core, near-optimal"
Wiley_PNAS_2013,gold,46.3,-10.2,no,transferrin,100.0,0.018,0.4,relative_brain_counts,mouse_iv,"20nm core, excess avidity reduces brain entry"
Wiley_PNAS_2013,gold,78.1,-5.3,no,transferrin,20.0,0.89,1.8,relative_brain_counts,mouse_iv,"50nm core, best size"
Wiley_PNAS_2013,gold,85.4,-6.3,no,transferrin,200.0,0.014,0.7,relative_brain_counts,mouse_iv,"50nm core, excess Tf reduces penetration"
Wiley_PNAS_2015,gold,75.1,-5.75,yes,none,0.0,,10.0,pct_bbb_crossing,mouse_iv,"mPEG control, no targeting"
Wiley_PNAS_2015,gold,79.1,-5.77,yes,transferrin_normal,20.0,0.408,47.0,pct_bbb_crossing,mouse_iv,20Tf normal linkage
Wiley_PNAS_2015,gold,78.1,-7.78,yes,transferrin_normal,200.0,0.029,50.0,pct_bbb_crossing,mouse_iv,200Tf normal linkage
Wiley_PNAS_2015,gold,75.7,-11.25,yes,transferrin_cleavable,20.0,0.788,61.0,pct_bbb_crossing,mouse_iv,20Tf acid-cleavable linker
Wiley_PNAS_2015,gold,77.2,-7.93,yes,transferrin_cleavable,120.0,0.096,93.0,pct_bbb_crossing,mouse_iv,120Tf acid-cleavable linker
Wiley_PNAS_2015,gold,73.6,-7.47,yes,transferrin_cleavable,200.0,0.03,94.0,pct_bbb_crossing,mouse_iv,"200Tf acid-cleavable linker, best performer, ~1%ID in vivo"
Wiley_PNAS_2015,gold,76.1,-6.26,yes,anti_TfR_antibody_normal,2.0,0.441,35.0,pct_bbb_crossing,mouse_iv,"2 anti-TfR Ab, normal linkage"
Wiley_PNAS_2015,gold,84.4,-8.83,yes,anti_TfR_antibody_normal,10.0,0.039,38.0,pct_bbb_crossing,mouse_iv,"10 anti-TfR Ab, normal linkage"
Khung_ACSNano_2023,porous_silicon,180.9,-10.0,yes,none,0.0,,13.7,pct_bbb_crossing,in_vitro_transwell,mPEG control
Khung_ACSNano_2023,porous_silicon,170.1,-12.0,yes,transferrin,,,15.0,pct_bbb_crossing,in_vitro_transwell,"Tf low density (2.10 nmol/mg), Tf:mPEG=1:50"
Khung_ACSNano_2023,porous_silicon,170.1,-12.0,yes,transferrin,,,24.4,pct_bbb_crossing,in_vitro_transwell,"Tf medium density (3.83 nmol/mg), Tf:mPEG=1:9"
Khung_ACSNano_2023,porous_silicon,170.1,-12.0,yes,transferrin,,,23.6,pct_bbb_crossing,in_vitro_transwell,"Tf high density (4.92 nmol/mg), full Tf-PEG"
Khung_ACSNano_2023,porous_silicon,299.3,-12.0,yes,transferrin,,,17.5,pct_bbb_crossing,in_vitro_transwell,"Tf high density, LARGE particles (300nm) → reduced transport"
Najera_Pharmaceutics_2025_T4,liposome,90.0,-10.0,yes,none,0.0,,0.023,pct_ID_brain,mouse_iv_C57BL6,"PEGylated liposome, untargeted, 4h post-injection"
Najera_Pharmaceutics_2025_T4,liposome,90.0,-10.0,yes,scFv_antibody,,,0.24,pct_ID_brain,mouse_iv_C57BL6,"scFv antibody-targeted liposome, 4h, ~10× vs untargeted"
Najera_Pharmaceutics_2025_T4,liposome,100.0,5.0,no,TAT_peptide,,,0.1,pct_ID_brain,mouse_iv,"TAT peptide-functionalized, cationic, no improved uptake vs control"
Najera_Pharmaceutics_2025_T4,PLGA,133.0,-29.0,no,poloxamer188,,,17.2,pct_ID_brain,rat_C6_glioma_iv,"PLGA+Poloxamer188 coating, MTX+PTX loaded, 48h, glioma model"
Najera_Pharmaceutics_2025_T4,PLGA,221.0,-18.0,no,poloxamer188,,,17.2,pct_ID_brain,rat_C6_glioma_iv,PLGA+Poloxamer188 larger formulation variant
Najera_Pharmaceutics_2025_T4,PEG_PLGA,100.0,-15.0,yes,none,0.0,,0.5,pct_ID_brain,rodent_iv,"PEG-PLGA unmodified, minimal brain penetration (<1%ID/g), ~0.5 estimated"
Najera_Pharmaceutics_2025_T4,PAMAM_G4,4.3,0.0,no,OH_terminated,,,1.9,ug_per_g_brain,rat_9L_GL261_tumor,"PAMAM G4 OH-terminated dendrimer, 24h, 1.9 μg/g tumor"
Najera_Pharmaceutics_2025_T4,PAMAM_G6,6.7,0.0,no,OH_terminated,,,17.6,ug_per_g_brain,mouse_GL261_tumor,"PAMAM G6 OH-terminated dendrimer, 24h, 17.6 μg/g tumor"
Najera_Pharmaceutics_2025_T4,protein_cage,12.0,-8.0,no,H_ferritin,,,,qualitative_positive,mouse_iv,"H-Ferritin nanocage, effective BBB penetration, no exact %ID/g reported"
Najera_Pharmaceutics_2025_T4,VLP,40.0,,no,JC_polyomavirus,,,0.0,pct_ID_brain,mouse_iv,"JC polyomavirus VLP, ~0% ID/g brain, not effective"
Najera_Pharmaceutics_2025_T4,gold,15.0,0.0,yes,none,0.0,,0.04,pct_ID_brain,mouse_iv,"Gold NP PEGylated, no targeting, baseline"
Najera_Pharmaceutics_2025_T4,gold,15.0,0.0,yes,anti_JAM_A_antibody,,,0.13,pct_ID_brain,mouse_iv,"Gold NP anti-JAM-A antibody, 0.13% ID/g (~3× vs untargeted)"
Yousfan_MolPharm_2024,PLGA,151.0,-12.88,no,transferrin,,,4.32,AUC_brain_ug_h_ml,rodent_iv,API=Lamotrigine; EE=76.05%; AUC_ratio=0.0747
Yousfan_MolPharm_2024,PLGA,150.0,-11.21,no,lactoferrin,,,6.37,AUC_brain_ug_h_ml,rodent_iv,API=Lamotrigine; EE=76.05%; AUC_ratio=0.1206
Yousfan_MolPharm_2024,PLGA/PEG,109.0,-30.0,yes,lactoferrin,,,278.48,AUC_brain_ug_h_ml,rodent_iv,API=coumarin-6; EE=69.0%; AUC_ratio=1.4548
Yousfan_MolPharm_2024,PLA/PEG,166.4,-22.08,yes,lactoferrin,,,458.98,AUC_brain_ug_h_ml,rodent_iv,API=coumarin-6; EE=70.0%; AUC_ratio=2.091
Yousfan_MolPharm_2024,PLA/PEG,167.6,-20.45,yes,transferrin,,,1277.0,AUC_brain_ug_h_ml,rodent_iv,API=coumarin-6; EE=70.0%; AUC_ratio=3.1625
Yousfan_MolPharm_2024,CD/PEG,179.7,1.0,yes,lactoferrin,,,9338.3,AUC_brain_ug_h_ml,rodent_iv,API=IR-775 chloride; EE=98.1%; AUC_ratio=26.6276
Yousfan_MolPharm_2024,CD/PEG,179.7,1.0,yes,transferrin,,,4761.2,AUC_brain_ug_h_ml,rodent_iv,API=IR-775 chloride; EE=97.3%; AUC_ratio=13.9502
Yousfan_MolPharm_2024,PLGA/PEG,90.0,-24.0,yes,lactoferrin,,,372.13,AUC_brain_ug_h_ml,rodent_iv,API=coumarin-6; EE=60.0%; AUC_ratio=1.1314
Yousfan_MolPharm_2024,PLGA,157.0,-11.06,no,transferrin,,,3.48,AUC_brain_ug_h_ml,rodent_iv,API=Tramadol; EE=71.49%; AUC_ratio=0.0633
Yousfan_MolPharm_2024,PLGA,158.0,-9.35,no,lactoferrin,,,5.24,AUC_brain_ug_h_ml,rodent_iv,API=Tramadol; EE=71.16%; AUC_ratio=0.1025
